Texteingaben : Proben-beschriftung;"dpp-PUL6-3"
Allgemein : Startdatum;16.08.2018 16:22:52
Abmessung : Querschnitt;3,45000;mm^2

Zeit;Traversenweg;Last;Dehnung 1;Zugspannung
(sec);(mm);(kN);(%);(MPa)
0,00000;-0,0001;0,084;0,00231;24,37
0,10000;0,0002;0,089;0,00229;25,78
0,20000;0,0010;0,088;0,00248;25,61
0,30000;0,0025;0,089;0,00278;25,69
0,40000;0,0054;0,106;0,00418;30,62
0,50000;0,0081;0,122;0,00587;35,36
0,60000;0,0099;0,136;0,00703;39,37
0,70000;0,0115;0,147;0,00802;42,57
0,80000;0,0132;0,155;0,00905;44,84
0,90000;0,0146;0,163;0,00990;47,28
1,00000;0,0164;0,172;0,01080;49,80
1,10000;0,0183;0,178;0,01199;51,72
1,20000;0,0200;0,184;0,01299;53,28
1,30000;0,0215;0,186;0,01395;53,99
1,40000;0,0232;0,191;0,01486;55,47
1,50000;0,0247;0,194;0,01581;56,28
1,60000;0,0264;0,196;0,01679;56,78
1,70000;0,0283;0,199;0,01788;57,78
1,80000;0,0300;0,202;0,01908;58,41
1,90000;0,0316;0,204;0,02002;59,02
2,00000;0,0332;0,207;0,02093;59,86
2,10000;0,0348;0,207;0,02187;59,91
2,20000;0,0364;0,209;0,02276;60,48
2,30000;0,0381;0,209;0,02375;60,62
2,40000;0,0399;0,211;0,02483;61,19
2,50000;0,0416;0,213;0,02585;61,75
2,60000;0,0432;0,213;0,02684;61,82
2,70000;0,0449;0,215;0,02784;62,35
2,80000;0,0464;0,216;0,02871;62,72
2,90000;0,0481;0,217;0,02966;62,95
3,00000;0,0498;0,219;0,03068;63,57
3,10000;0,0516;0,221;0,03180;63,93
3,20000;0,0532;0,223;0,03278;64,56
3,30000;0,0549;0,224;0,03374;64,88
3,40000;0,0565;0,225;0,03469;65,29
3,50000;0,0581;0,228;0,03560;66,11
3,60000;0,0598;0,230;0,03655;66,53
3,70000;0,0617;0,233;0,03766;67,53
3,80000;0,0633;0,238;0,03870;68,94
3,90000;0,0649;0,243;0,03958;70,37
4,00000;0,0665;0,249;0,04055;72,26
4,10000;0,0681;0,255;0,04147;73,81
4,20000;0,0697;0,261;0,04237;75,78
4,30000;0,0715;0,270;0,04349;78,20
4,40000;0,0734;0,281;0,04462;81,55
4,50000;0,0750;0,291;0,04554;84,36
4,60000;0,0765;0,295;0,04646;85,44
4,70000;0,0782;0,305;0,04741;88,53
4,80000;0,0797;0,308;0,04832;89,20
4,90000;0,0815;0,316;0,04934;91,70
5,00000;0,0833;0,320;0,05039;92,76
5,10000;0,0849;0,325;0,05143;94,29
5,20000;0,0865;0,330;0,05231;95,56
5,30000;0,0882;0,335;0,05333;97,20
5,40000;0,0898;0,337;0,05428;97,60
5,50000;0,0914;0,344;0,05521;99,67
5,60000;0,0932;0,348;0,05625;100,81
5,70000;0,0949;0,351;0,05726;101,80
5,80000;0,0966;0,356;0,05824;103,23
5,90000;0,0982;0,363;0,05914;105,24
6,00000;0,0998;0,367;0,06007;106,26
6,10000;0,1014;0,372;0,06100;107,74
6,20000;0,1031;0,376;0,06199;109,06
6,30000;0,1050;0,384;0,06307;111,24
6,40000;0,1066;0,388;0,06405;112,55
6,50000;0,1083;0,393;0,06501;113,82
6,60000;0,1099;0,400;0,06592;116,02
6,70000;0,1114;0,407;0,06677;117,90
6,80000;0,1131;0,415;0,06773;120,37
6,90000;0,1149;0,420;0,06877;121,65
7,00000;0,1167;0,428;0,06986;123,97
7,10000;0,1182;0,433;0,07076;125,52
7,20000;0,1199;0,441;0,07164;127,81
7,30000;0,1214;0,446;0,07264;129,18
7,40000;0,1231;0,453;0,07352;131,29
7,50000;0,1248;0,457;0,07446;132,35
7,60000;0,1267;0,461;0,07552;133,68
7,70000;0,1282;0,465;0,07649;134,80
7,80000;0,1299;0,467;0,07738;135,32
7,90000;0,1315;0,469;0,07834;135,90
8,00000;0,1331;0,471;0,07927;136,54
8,10000;0,1348;0,474;0,08031;137,51
8,20000;0,1365;0,475;0,08130;137,77
8,30000;0,1383;0,478;0,08234;138,56
8,40000;0,1399;0,479;0,08331;138,95
8,50000;0,1416;0,481;0,08422;139,49
8,60000;0,1431;0,482;0,08511;139,71
8,70000;0,1447;0,484;0,08611;140,43
8,80000;0,1466;0,487;0,08711;141,11
8,90000;0,1484;0,491;0,08818;142,22
9,00000;0,1499;0,490;0,08915;142,10
9,10000;0,1516;0,493;0,09003;142,95
9,20000;0,1532;0,495;0,09096;143,59
9,30000;0,1548;0,499;0,09182;144,75
9,40000;0,1564;0,501;0,09276;145,13
9,50000;0,1583;0,507;0,09376;146,94
9,60000;0,1599;0,508;0,09474;147,38
9,70000;0,1615;0,517;0,09570;149,87
9,80000;0,1632;0,519;0,09659;150,37
9,90000;0,1647;0,525;0,09751;152,03
10,00000;0,1664;0,529;0,09841;153,27
10,10000;0,1682;0,532;0,09935;154,23
10,20000;0,1700;0,541;0,10044;156,80
10,30000;0,1716;0,549;0,10145;159,12
10,40000;0,1732;0,557;0,10238;161,32
10,50000;0,1749;0,564;0,10331;163,37
10,60000;0,1765;0,569;0,10426;164,89
10,70000;0,1781;0,577;0,10522;167,24
10,80000;0,1800;0,589;0,10631;170,79
10,90000;0,1817;0,599;0,10730;173,72
11,00000;0,1833;0,603;0,10816;174,74
11,10000;0,1848;0,613;0,10906;177,55
11,20000;0,1864;0,618;0,10998;179,19
11,30000;0,1880;0,626;0,11086;181,55
11,40000;0,1899;0,629;0,11191;182,35
11,50000;0,1917;0,638;0,11309;184,94
11,60000;0,1933;0,640;0,11394;185,37
11,70000;0,1949;0,644;0,11484;186,73
11,80000;0,1965;0,649;0,11580;188,01
11,90000;0,1981;0,650;0,11654;188,54
12,00000;0,1998;0,655;0,11745;189,91
12,10000;0,2017;0,659;0,11850;191,12
12,20000;0,2033;0,664;0,11944;192,49
12,30000;0,2049;0,669;0,12032;193,92
12,40000;0,2066;0,673;0,12136;195,22
12,50000;0,2081;0,678;0,12217;196,41
12,60000;0,2097;0,679;0,12307;196,83
12,70000;0,2116;0,685;0,12403;198,41
12,80000;0,2133;0,689;0,12500;199,77
12,90000;0,2149;0,693;0,12594;200,75
13,00000;0,2166;0,697;0,12685;201,97
13,10000;0,2182;0,701;0,12774;203,07
13,20000;0,2197;0,704;0,12865;204,19
13,30000;0,2215;0,710;0,12963;205,76
13,40000;0,2233;0,720;0,13064;208,81
13,50000;0,2250;0,725;0,13156;210,15
13,60000;0,2266;0,735;0,13245;213,00
13,70000;0,2282;0,742;0,13334;215,06
13,80000;0,2297;0,749;0,13420;217,07
13,90000;0,2314;0,753;0,13504;218,38
14,00000;0,2333;0,765;0,13606;221,77
14,10000;0,2350;0,771;0,13718;223,52
14,20000;0,2365;0,779;0,13806;225,66
14,30000;0,2382;0,782;0,13895;226,61
14,40000;0,2398;0,784;0,13988;227,36
14,50000;0,2413;0,788;0,14069;228,31
14,60000;0,2432;0,789;0,14180;228,69
14,70000;0,2450;0,792;0,14282;229,44
14,80000;0,2466;0,793;0,14369;229,83
14,90000;0,2483;0,794;0,14468;230,09
15,00000;0,2498;0,796;0,14550;230,61
15,10000;0,2514;0,797;0,14642;231,00
15,20000;0,2531;0,797;0,14737;231,10
15,30000;0,2550;0,800;0,14840;232,01
15,40000;0,2566;0,802;0,14931;232,53
15,50000;0,2582;0,803;0,15024;232,67
15,60000;0,2599;0,806;0,15117;233,50
15,70000;0,2614;0,808;0,15201;234,26
15,80000;0,2631;0,812;0,15284;235,25
15,90000;0,2649;0,814;0,15383;236,07
16,00000;0,2667;0,817;0,15487;236,68
16,10000;0,2683;0,818;0,15574;237,18
16,20000;0,2699;0,820;0,15660;237,79
16,30000;0,2715;0,824;0,15741;238,82
16,40000;0,2730;0,826;0,15833;239,45
16,50000;0,2748;0,829;0,15931;240,25
16,60000;0,2767;0,830;0,16025;240,46
16,70000;0,2783;0,834;0,16134;241,84
16,80000;0,2799;0,834;0,16209;241,72
16,90000;0,2815;0,839;0,16301;243,11
17,00000;0,2830;0,841;0,16397;243,81
17,10000;0,2847;0,844;0,16485;244,75
17,20000;0,2865;0,850;0,16590;246,41
17,30000;0,2883;0,855;0,16681;247,84
17,40000;0,2899;0,862;0,16777;249,92
17,50000;0,2916;0,867;0,16870;251,43
17,60000;0,2932;0,875;0,16963;253,63
17,70000;0,2947;0,880;0,17044;255,09
17,80000;0,2965;0,888;0,17141;257,48
