Texteingaben : Proben-beschriftung;"dpp-PUL6-1"
Allgemein : Startdatum;16.08.2018 16:07:51
Abmessung : Querschnitt;3,45000;mm^2

Zeit;Traversenweg;Last;Dehnung 1;Zugspannung
(sec);(mm);(kN);(%);(MPa)
0,00000;0,0000;0,060;0,00037;17,33
0,10000;0,0004;0,063;0,00043;18,37
0,20000;0,0012;0,064;0,00048;18,52
0,30000;0,0028;0,067;0,00085;19,29
0,40000;0,0059;0,076;0,00224;22,06
0,50000;0,0082;0,091;0,00371;26,30
0,60000;0,0100;0,098;0,00469;28,45
0,70000;0,0116;0,114;0,00566;32,92
0,80000;0,0132;0,121;0,00660;34,99
0,90000;0,0149;0,130;0,00754;37,80
1,00000;0,0168;0,145;0,00862;41,95
1,10000;0,0185;0,151;0,00963;43,71
1,20000;0,0200;0,161;0,01048;46,70
1,30000;0,0217;0,170;0,01136;49,13
1,40000;0,0232;0,174;0,01218;50,48
1,50000;0,0248;0,179;0,01319;51,82
1,60000;0,0267;0,185;0,01417;53,67
1,70000;0,0285;0,188;0,01526;54,62
1,80000;0,0300;0,193;0,01617;55,85
1,90000;0,0317;0,196;0,01704;56,88
2,00000;0,0333;0,200;0,01797;57,88
2,10000;0,0348;0,200;0,01886;58,07
2,20000;0,0366;0,203;0,01981;58,81
2,30000;0,0385;0,204;0,02090;59,03
2,40000;0,0401;0,206;0,02186;59,74
2,50000;0,0416;0,208;0,02271;60,22
2,60000;0,0433;0,209;0,02376;60,46
2,70000;0,0448;0,210;0,02463;60,98
2,80000;0,0465;0,212;0,02556;61,43
2,90000;0,0484;0,213;0,02654;61,83
3,00000;0,0501;0,215;0,02755;62,38
3,10000;0,0517;0,216;0,02843;62,67
3,20000;0,0534;0,217;0,02936;63,03
3,30000;0,0550;0,220;0,03027;63,70
3,40000;0,0565;0,220;0,03109;63,77
3,50000;0,0583;0,222;0,03207;64,42
3,60000;0,0602;0,223;0,03318;64,71
3,70000;0,0617;0,226;0,03410;65,38
3,80000;0,0634;0,228;0,03497;66,13
3,90000;0,0650;0,230;0,03586;66,64
4,00000;0,0665;0,235;0,03666;68,01
4,10000;0,0682;0,236;0,03754;68,40
4,20000;0,0701;0,244;0,03860;70,61
4,30000;0,0718;0,248;0,03963;71,85
4,40000;0,0733;0,257;0,04048;74,42
4,50000;0,0750;0,264;0,04133;76,62
4,60000;0,0766;0,269;0,04218;78,12
4,70000;0,0782;0,278;0,04311;80,60
4,80000;0,0800;0,288;0,04402;83,44
4,90000;0,0818;0,297;0,04500;85,98
5,00000;0,0834;0,303;0,04591;87,88
5,10000;0,0850;0,310;0,04680;89,80
5,20000;0,0866;0,317;0,04763;91,84
5,30000;0,0883;0,320;0,04847;92,89
5,40000;0,0899;0,325;0,04939;94,21
5,50000;0,0917;0,330;0,05036;95,61
5,60000;0,0934;0,334;0,05135;96,83
5,70000;0,0950;0,340;0,05215;98,43
5,80000;0,0966;0,344;0,05308;99,74
5,90000;0,0982;0,347;0,05401;100,52
6,00000;0,0998;0,353;0,05484;102,40
6,10000;0,1016;0,357;0,05579;103,54
6,20000;0,1035;0,365;0,05685;105,68
6,30000;0,1050;0,367;0,05767;106,47
6,40000;0,1067;0,373;0,05859;108,19
6,50000;0,1083;0,379;0,05946;109,84
6,60000;0,1099;0,383;0,06028;110,94
6,70000;0,1116;0,391;0,06120;113,35
6,80000;0,1135;0,396;0,06216;114,64
6,90000;0,1151;0,402;0,06315;116,46
7,00000;0,1167;0,407;0,06392;117,95
7,10000;0,1183;0,414;0,06485;120,11
