Texteingaben : Proben-beschriftung;"dpp-PUL6-4"
Allgemein : Startdatum;16.08.2018 16:31:34
Abmessung : Querschnitt;3,45000;mm^2

Zeit;Traversenweg;Last;Dehnung 1;Zugspannung
(sec);(mm);(kN);(%);(MPa)
0,00000;-0,0023;0,083;-0,00110;24,19
0,10000;-0,0019;0,081;-0,00112;23,35
0,20000;-0,0011;0,084;-0,00107;24,25
0,30000;0,0004;0,087;-0,00088;25,08
0,40000;0,0034;0,103;0,00055;29,74
0,50000;0,0057;0,117;0,00195;33,82
0,60000;0,0075;0,130;0,00297;37,71
0,70000;0,0095;0,140;0,00398;40,61
0,80000;0,0111;0,152;0,00496;44,03
0,90000;0,0127;0,163;0,00579;47,19
1,00000;0,0143;0,168;0,00662;48,79
1,10000;0,0159;0,176;0,00748;51,07
1,20000;0,0176;0,181;0,00845;52,38
1,30000;0,0194;0,186;0,00936;53,91
1,40000;0,0212;0,191;0,01032;55,34
1,50000;0,0228;0,194;0,01113;56,26
1,60000;0,0244;0,195;0,01210;56,67
1,70000;0,0260;0,200;0,01291;58,02
1,80000;0,0276;0,201;0,01372;58,14
1,90000;0,0293;0,202;0,01468;58,48
2,00000;0,0311;0,206;0,01560;59,57
2,10000;0,0327;0,207;0,01650;59,87
2,20000;0,0344;0,208;0,01745;60,40
2,30000;0,0361;0,210;0,01827;60,91
2,40000;0,0376;0,211;0,01906;61,05
2,50000;0,0392;0,212;0,01985;61,40
2,60000;0,0412;0,213;0,02089;61,73
2,70000;0,0428;0,215;0,02178;62,21
2,80000;0,0445;0,217;0,02267;62,98
2,90000;0,0461;0,218;0,02344;63,18
3,00000;0,0476;0,219;0,02423;63,53
3,10000;0,0493;0,220;0,02501;63,75
3,20000;0,0510;0,222;0,02587;64,39
3,30000;0,0529;0,223;0,02677;64,72
3,40000;0,0545;0,226;0,02765;65,62
3,50000;0,0561;0,228;0,02842;66,10
3,60000;0,0576;0,230;0,02922;66,53
3,70000;0,0592;0,233;0,03001;67,49
3,80000;0,0610;0,238;0,03081;68,86
3,90000;0,0629;0,242;0,03182;70,15
4,00000;0,0646;0,247;0,03280;71,55
4,10000;0,0661;0,255;0,03346;73,92
4,20000;0,0677;0,263;0,03428;76,14
4,30000;0,0694;0,269;0,03516;78,03
4,40000;0,0709;0,277;0,03588;80,30
4,50000;0,0727;0,289;0,03682;83,72
4,60000;0,0745;0,292;0,03776;84,75
4,70000;0,0761;0,303;0,03855;87,68
4,80000;0,0778;0,308;0,03937;89,25
4,90000;0,0794;0,314;0,04024;91,07
5,00000;0,0809;0,319;0,04104;92,41
5,10000;0,0826;0,322;0,04183;93,33
5,20000;0,0845;0,329;0,04279;95,45
5,30000;0,0862;0,333;0,04375;96,50
5,40000;0,0877;0,338;0,04459;97,97
5,50000;0,0895;0,341;0,04542;98,80
5,60000;0,0910;0,347;0,04626;100,48
5,70000;0,0926;0,351;0,04707;101,73
5,80000;0,0945;0,357;0,04797;103,35
5,90000;0,0963;0,360;0,04897;104,47
6,00000;0,0978;0,366;0,04978;106,06
6,10000;0,0994;0,372;0,05052;107,74
6,20000;0,1010;0,376;0,05133;108,88
6,30000;0,1025;0,382;0,05209;110,68
6,40000;0,1043;0,387;0,05294;112,20
6,50000;0,1061;0,393;0,05390;113,98
6,60000;0,1078;0,400;0,05478;115,85
6,70000;0,1094;0,407;0,05553;117,86
6,80000;0,1111;0,412;0,05641;119,53
6,90000;0,1126;0,419;0,05724;121,56
7,00000;0,1143;0,427;0,05805;123,87
7,10000;0,1161;0,432;0,05896;125,21
7,20000;0,1179;0,441;0,05985;127,82
7,30000;0,1194;0,447;0,06061;129,55
7,40000;0,1211;0,452;0,06142;130,88
7,50000;0,1226;0,458;0,06226;132,77
7,60000;0,1242;0,461;0,06307;133,56
7,70000;0,1259;0,464;0,06388;134,58
7,80000;0,1278;0,467;0,06475;135,24
7,90000;0,1294;0,470;0,06562;136,25
8,00000;0,1311;0,472;0,06638;136,96
8,10000;0,1327;0,474;0,06720;137,34
8,20000;0,1343;0,476;0,06796;138,10
8,30000;0,1359;0,477;0,06862;138,36
8,40000;0,1378;0,479;0,06953;138,98
8,50000;0,1395;0,482;0,07044;139,68
8,60000;0,1412;0,484;0,07116;140,27
8,70000;0,1427;0,485;0,07196;140,46
8,80000;0,1444;0,487;0,07266;141,08
8,90000;0,1459;0,489;0,07327;141,79
9,00000;0,1477;0,490;0,07409;141,95
9,10000;0,1495;0,493;0,07496;142,77
9,20000;0,1512;0,495;0,07573;143,52
9,30000;0,1528;0,498;0,07645;144,33
9,40000;0,1544;0,502;0,07713;145,37
9,50000;0,1559;0,505;0,07784;146,37
9,60000;0,1576;0,509;0,07856;147,57
9,70000;0,1594;0,513;0,07941;148,70
9,80000;0,1612;0,518;0,08011;150,19
9,90000;0,1628;0,524;0,08085;152,01
10,00000;0,1644;0,530;0,08139;153,59
10,10000;0,1660;0,535;0,08226;155,01
10,20000;0,1676;0,542;0,08288;157,14
10,30000;0,1694;0,549;0,08360;158,99
10,40000;0,1711;0,557;0,08440;161,59
10,50000;0,1728;0,565;0,08515;163,78
10,60000;0,1744;0,570;0,08584;165,14
10,70000;0,1760;0,580;0,08652;168,23
10,80000;0,1776;0,588;0,08714;170,53
10,90000;0,1793;0,599;0,08783;173,51
11,00000;0,1812;0,604;0,08871;175,14
11,10000;0,1829;0,615;0,08954;178,14
11,20000;0,1844;0,621;0,09012;179,94
11,30000;0,1861;0,628;0,09086;181,95
11,40000;0,1877;0,633;0,09156;183,41
11,50000;0,1892;0,637;0,09217;184,76
11,60000;0,1910;0,641;0,09298;185,78
11,70000;0,1928;0,646;0,09377;187,11
11,80000;0,1944;0,650;0,09445;188,41
11,90000;0,1960;0,654;0,09514;189,54
12,00000;0,1977;0,659;0,09587;190,94
12,10000;0,1992;0,661;0,09654;191,63
12,20000;0,2010;0,665;0,09727;192,72
12,30000;0,2028;0,669;0,09810;194,01
12,40000;0,2045;0,673;0,09888;195,04
12,50000;0,2061;0,678;0,09958;196,55
12,60000;0,2078;0,681;0,10039;197,35
12,70000;0,2093;0,686;0,10109;198,77
12,80000;0,2109;0,689;0,10191;199,60
12,90000;0,2128;0,693;0,10288;200,81
13,00000;0,2146;0,701;0,10388;203,09
13,10000;0,2161;0,703;0,10466;203,79
13,20000;0,2177;0,708;0,10550;205,18
13,30000;0,2193;0,715;0,10624;207,13
13,40000;0,2208;0,724;0,10700;209,85
13,50000;0,2226;0,726;0,10788;210,42
13,60000;0,2245;0,737;0,10878;213,60
13,70000;0,2262;0,749;0,10981;216,97
13,80000;0,2277;0,755;0,11051;218,98
13,90000;0,2294;0,763;0,11131;221,26
14,00000;0,2309;0,770;0,11213;223,22
14,10000;0,2326;0,774;0,11276;224,46
14,20000;0,2344;0,782;0,11377;226,71
14,30000;0,2362;0,785;0,11461;227,49
14,40000;0,2377;0,788;0,11544;228,29
14,50000;0,2395;0,789;0,11625;228,76
14,60000;0,2410;0,791;0,11714;229,21
14,70000;0,2426;0,792;0,11782;229,49
14,80000;0,2444;0,793;0,11872;229,93
14,90000;0,2462;0,795;0,11962;230,40
15,00000;0,2478;0,796;0,12039;230,65
15,10000;0,2494;0,797;0,12119;230,98
15,20000;0,2510;0,799;0,12196;231,62
15,30000;0,2526;0,800;0,12278;231,89
15,40000;0,2543;0,802;0,12363;232,32
15,50000;0,2561;0,806;0,12468;233,52
15,60000;0,2578;0,806;0,12561;233,75
15,70000;0,2594;0,809;0,12640;234,41
15,80000;0,2611;0,812;0,12722;235,40
15,90000;0,2627;0,815;0,12796;236,35
16,00000;0,2642;0,818;0,12867;236,98
16,10000;0,2660;0,819;0,12964;237,43
16,20000;0,2679;0,823;0,13058;238,62
16,30000;0,2694;0,826;0,13142;239,39
16,40000;0,2711;0,828;0,13225;239,93
16,50000;0,2727;0,830;0,13308;240,56
16,60000;0,2742;0,832;0,13386;241,08
16,70000;0,2759;0,834;0,13473;241,86
16,80000;0,2778;0,837;0,13573;242,72
16,90000;0,2795;0,840;0,13654;243,48
17,00000;0,2811;0,843;0,13739;244,42
17,10000;0,2828;0,848;0,13828;245,66
17,20000;0,2843;0,853;0,13903;247,26
17,30000;0,2859;0,857;0,13981;248,54
17,40000;0,2878;0,865;0,14082;250,77
17,50000;0,2895;0,876;0,14175;254,00
17,60000;0,2911;0,881;0,14259;255,32
17,70000;0,2927;0,888;0,14338;257,29
17,80000;0,2944;0,894;0,14413;259,14
17,90000;0,2959;0,899;0,14498;260,63
18,00000;0,2977;0,905;0,14591;262,37
18,10000;0,2995;0,910;0,14682;263,70
18,20000;0,3012;0,916;0,14774;265,46
18,30000;0,3028;0,919;0,14858;266,50
18,40000;0,3044;0,925;0,14941;268,13
18,50000;0,3060;0,930;0,15022;269,47
18,60000;0,3076;0,937;0,15099;271,70
18,70000;0,3094;0,942;0,15200;272,90
18,80000;0,3113;0,952;0,15283;275,93
18,90000;0,3128;0,958;0,15366;277,70
19,00000;0,3144;0,965;0,15444;279,64
19,10000;0,3160;0,973;0,15537;281,93
19,20000;0,3176;0,977;0,15612;283,20
19,30000;0,3194;0,985;0,15707;285,40
19,40000;0,3211;0,994;0,15793;288,21
19,50000;0,3228;1,003;0,15885;290,63
19,60000;0,3244;1,006;0,15969;291,66
19,70000;0,3261;1,014;0,16058;293,96
19,80000;0,3276;1,022;0,16134;296,21
19,90000;0,3293;1,030;0,16217;298,63
20,00000;0,3312;1,039;0,16322;301,25
20,10000;0,3329;1,047;0,16411;303,54
20,20000;0,3344;1,053;0,16488;305,34
20,30000;0,3361;1,063;0,16573;308,04
20,40000;0,3377;1,072;0,16658;310,61
20,50000;0,3392;1,078;0,16728;312,41
20,60000;0,3410;1,085;0,16818;314,54
20,70000;0,3429;1,094;0,16912;317,09
20,80000;0,3445;1,098;0,17007;318,15
20,90000;0,3460;1,104;0,17079;319,92
21,00000;0,3477;1,106;0,17168;320,71
21,10000;0,3492;1,109;0,17241;321,51
21,20000;0,3510;1,113;0,17330;322,62
21,30000;0,3528;1,115;0,17426;323,20
21,40000;0,3546;1,117;0,17518;323,91
21,50000;0,3560;1,119;0,17593;324,29
21,60000;0,3578;1,121;0,17678;324,90
21,70000;0,3593;1,122;0,17756;325,17
21,80000;0,3609;1,124;0,17839;325,71
21,90000;0,3627;1,125;0,17929;326,02
